what,where,when,price
Koncert med Rytmisk Center.,"Eliaskirken, Vesterbros Torv, Vesterbrogade 49, Copenhagen V","Mon 20 November 2017, 6 pm  - 10",Ukendt
Omar Souleyman (sy).,"VEGA, Enghavevej 40, Copenhagen V","Fri 2 February 2018, 9",Ukendt
Gladsaxe Folkekor i Natkirken.,"Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K","Fri 24 November 2017, 9",(Free admission)
Shiny Darkly releasekoncert på Loppen.,"Loppen, Christiania, Bådsmandsstræde 43, Copenhagen K","Sat 3 February 2018, 9",(Entrance fee: 105 DKK)
Jazz: Tidlige Swingorkestre.,"Bibliografen, Bagsværd Hovedgade 116 P, Bagsværd","Wed 7 February 2018, 7",Ukendt
Fredagskoncert.,"Trinitatis Kirke, Landemærket 2, Copenhagen K","Fri 9 February 2018, 4.30 pm  - 5.30",Ukendt
Marcus & Martinus - Udsolgt/venteliste.,"Royal Arena, Hannemanns Allé 18-20, Copenhagen S","Sat 10 February 2018, 8","(Entrance fee: 400,00 dkk - 650,00 dkk)"
Debutkoncert - Alexander McKenzie.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Wed 14 February 2018, 7.30",(Free admission)
Wallace/Wamberg/Petri Trio.,"Jazzcup, Gothersgade 107, Copenhagen K","Sat 17 February 2018, 2.30","(Entrance fee: 100,-(80,-))"
Wiener Johann Strauss Konzert-Gala.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Mon 19 February 2018, 7.30",(Entrance fee: 300 - 890 DKK)
Paul Harrison Band på 20 års jubilæumsturné.,"Baghuset, Sct. Jacobsvej 1, Ballerup","Fri 23 February 2018, 8",(Entrance fee: 120/80)
"""Cohen i kirken"".","Højdevangskirken, Irlandsvej 45, Copenhagen S","Sun 25 February 2018, 4 pm  - 5",Ukendt
"Profanatica, Auroch, Rites Of Thy Degringolade @ Loppen.","Loppen, Christiania, Bådsmandsstræde 43, Copenhagen K","Thur 1 March 2018, 8.30",(Entrance fee: 99 DKK)
JazzaBrasil.,"Christianshavns Beboerhus, Dronningensgade 34, Copenhagen K","Sat 25 November 2017, 3",(Entrance fee: 50 DKK)
Steven Wilson (uk) - Få Billetter.,"VEGA, Enghavevej 40, Copenhagen V","Sat 3 March 2018, 8","(Entrance fee: 350,00 DKK)"
Bo Evers (50/50 koncert).,"Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Wed 7 March 2018, 7.30",(Entrance fee: 55 DKK)
Pligten Kalder.,"Kulturstationen Vanløse, Frode Jakobsens Plads 4 / Jernbane Allé 38, Vanløse","Sat 10 March 2018, 8.30",(Entrance fee: 180 DKK inkl. gebyr)
Göteborg Symfonikerne.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 16 March 2018, 7.30",(Entrance fee: 60 - 407 DKK)
Jazz Menu - Forår 2018.,"Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Sun 18 March 2018, 1",(Entrance fee: 110 DKK)
Bearcubs (uk) - Flyttet.,"Ideal Bar, Enghavevej 40, Copenhagen V","Wed 21 March 2018, 8","(Entrance fee: 115,00 DKK)"
De Danske Hyrder (DK).,"VEGA, Enghavevej 40, Copenhagen V","Fri 23 March 2018, 9","(Entrance fee: 165,00 DKK)"
Lukas-passionen.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 29 March 2018, 7.30",(Entrance fee: 60 - 407 DKK)
Tom Paxton & The DonJuans.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 5 April 2018, 8",(Entrance fee: 250 DKK)
Violin- og orgelkoncert.,"Mariendals Kirke, Nitivej 17, Frederiksberg","Sun 8 April 2018, 4 pm  - 5",Ukendt
Rust Live.,"Rust, Guldbergsgade 8, Copenhagen N","Sat 25 November 2017, 8.30",Ukendt
Alberte Winding og band.,"Kulturstationen Vanløse, Frode Jakobsens Plads 4 / Jernbane Allé 38, Vanløse","Fri 13 April 2018, 8.30",(Entrance fee: 180 DKK inkl. gebyr)
Gengahr (UK).,"Ideal Bar, Enghavevej 40, Copenhagen V","Tues 17 April 2018, 8","(Entrance fee: 140,00 DKK)"
Thirty Seconds To Mars.,"TAP1, Raffinaderivej 10, Copenhagen S","Sat 21 April 2018, 8","(Entrance fee: 410,00 DKK)"
Klumben og Raske Penge (DK).,"VEGA, Enghavevej 40, Copenhagen V","Wed 25 April 2018, 9","(Entrance fee: 165,00 DKK)"
Arrangement.,"Sankt Stefans Kirke, Nørrebrogade 191, Copenhagen N","Tues 1 May 2018, 11 am  - 2",Ukendt
Die Herren.,"Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup","Fri 11 May 2018, 8",(Entrance fee: 205 DKK + evt. gebyr)
Vox Absona.,"Flintholm Kirke, Junggreensvej 14, Frederiksberg","Sat 26 May 2018, 12.30 am  - 1.30",Ukendt
DR PigeKorets midsommer.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Mon 11 June 2018, 6.30",(Entrance fee: 98 - 300 DKK)
"MOZART: Exultate Jubilate, Sinfonia Concertante, Symfoni nr. 40.","Holmens Kirke, Holmens Kanal 21, Copenhagen K","Sat 13 October 2018, 4","(Entrance fee: 210,00 DKK)"
Jump og blues i Sorgenfri Kirke.,"Sorgenfri Kirke og Sognegård, Hummeltoften 1, Virum","Sun 26 November 2017, 3",(Entrance fee: 100 DKK)
Luthercabaret - Hva´så Luther.,"Sankt Jakobs Kirke, Østerbrogade 59, Copenhagen Ø","Sun 26 November 2017, 8",(Free admission)
Joyce Wrice (US).,"Ideal Bar, Enghavevej 40, Copenhagen V","Mon 27 November 2017, 8","(Entrance fee: 165,00 DKK)"
Mammút (IS).,"Ideal Bar, Enghavevej 40, Copenhagen V","Tues 21 November 2017, 8","(Entrance fee: 105,00 DKK)"
Nu Amsterdam Project På Loppen.,"Loppen, Christiania, Bådsmandsstræde 43, Copenhagen K","Tues 28 November 2017, 8.30",(Entrance fee: 90 DKK)
Støttekoncert med Marie Carmen Koppel.,"Mariakirken, Istedgade 20, Copenhagen V","Wed 29 November 2017, 8 pm  - 9.30",Ukendt
Julekoncert med kor og orkester fra Aurehøj Gymnasium.,"Dyssegårdskirken, Dyssegårdsvej 19, Hellerup","Thur 30 November 2017, 8",(Free admission)
Bouzouki og Buffet.,"Café Patina, Mysundegade 26, Copenhagen V","Fri 1 December 2017, 6 pm  - 12",(Entrance fee: 199)
Bersærk + Support - Få Billetter.,"Beta, Øresundsvej 6, Copenhagen S","Fri 1 December 2017, 9","(Entrance fee: 95,00 DKK)"
Messias i Marmorkirken.,"Marmorkirken, Frederiksgade 4, Copenhagen K","Sat 2 December 2017, 4","(Entrance fee: 135,00 dkk - 235,00 dkk)"
Klimaforandringer.,"Global Copenhagen, Nørre Allé 7, Copenhagen N","Sat 2 December 2017, 9",(Entrance fee: 100 DKK)
Julestøttekoncert v/ amalie og kons studerende.,"Ansgarkirken, Mågevej 33, Copenhagen NV","Sun 3 December 2017, 3 pm  - 5",Ukendt
Big Creek Slim.,"Mojo Blues bar, Løngangsstræde 21 C, Copenhagen K","Sun 3 December 2017, 9.30",(Free admission)
Julekoncert med Helleruplundkoret.,"Helleruplund Kirke, Bernstorffsvej 73, Hellerup","Tues 5 December 2017, 7.30 pm  - 8.30",Ukendt
Søren Kristiansen Trio.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Wed 22 November 2017, 8",(Entrance fee: 260 DKK + evt. gebyr)
Julekoncert med Vallensbækkoret.,"Helligtrekongers Kirke, Kirkebakke Allé 11, Vallensbæk","Wed 6 December 2017, 7.30 pm  - 9",Ukendt
Koncert med Sinne Eeg og Søren Sko.,"Christians Kirke, Strandgade 1, Copenhagen K","Thur 7 December 2017, 8 pm  - 9",Ukendt
Mogens Dahls Messias.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Fri 8 December 2017, 7.30 pm  - 10",Ukendt
Juniorakademiets julekoncert.,"Det kgl. Danske Musikkonservatorium, Studiescenen, Rosenørns Allé 22, Frederiksberg C","Sat 9 December 2017, 3",(Free admission)
Händels Messias.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Sat 9 December 2017, 7.30",(Entrance fee: 175 - 275 DKK)
Wafandes familiekoncert.,"Baltoppen Live, Baltorpvej 20, Ballerup","Sun 10 December 2017, 2",(Entrance fee: 100 DKK + evt. gebyr)
Julekoncert med Canto Novo Koret.,"Frihavnskirken, Willemoesgade 68, Copenhagen Ø","Sun 10 December 2017, 4",(Free admission)
Elevkoncert med sang.,"Metronomen, Godthåbsvej 33, Frederiksberg","Sun 10 December 2017, 8",(Free admission)
Mød de klassiske stjernefrø: Jeanine Markley.,"Hovedbiblioteket - Undervisningslokalet, Falkoner Plads 3, Frederiksberg","Tues 12 December 2017, 5",(Entrance fee: Gratis billetter)
Onsdagsjazz V. Jacob Fischer - Dagens Gryde.,"Bartof Station, Solbjergvej 3, Frederiksberg","Wed 13 December 2017, 4.30",(Entrance fee)
Klarinet i lange baner.,"Musikhøjskolen, Smallegade 12, Frederiksberg","Thur 23 November 2017, 8",(Free admission)
Smif-N-Wessun med special guest Meyhem Lauren.,"Loppen, Christiania, Bådsmandsstræde 43, Copenhagen K","Wed 13 December 2017, 8.30",(Entrance fee: 149 DKK)
Julekoncert med Det Danske Drengekor.,"Helleruplund Kirke, Bernstorffsvej 73, Hellerup","Thur 14 December 2017, 7.30 pm  - 8.30",Ukendt
Julekoncert Lifekoret.,"Sct. Thomas kirke, Rolighedsvej 16, Frederiksberg C","Fri 15 December 2017, 5.30 pm  - 6.30",Ukendt
Izzyy.,"Rust, Guldbergsgade 8, Copenhagen N","Fri 15 December 2017, 11",Ukendt
Julekoncert i København med Lars Muhl & Githa Ben-David.,"Unitarernes Hus, Dag Hammarskjölds Allé 30, Copenhagen Ø","Sat 16 December 2017, 7 pm  - 9",(Entrance fee: 150)
Julekoncert.,"Skovshoved Kirke, Krøyersvej 1, Klampenborg","Sun 17 December 2017, 3 pm  - 5",Ukendt
Koncert - Fangekoret.,"Buddinge Kirke, Buddingevej 293, Søborg","Sun 17 December 2017, 7.30 pm  - 9",Ukendt
Messias.,"Grundtvigs Kirke, På Bjerget 14B, Copenhagen NV","Tues 19 December 2017, 7.30 pm  - 10",Ukendt
Zididada.,"Mojo Blues bar, Løngangsstræde 21 C, Copenhagen K","Thur 21 December 2017, 7",(Entrance fee: 220)
Julevesper.,"Vor Frue Kirke - Københavns Domkirke, Nørregade 8, Copenhagen K","Sun 24 December 2017, 2.30",(Free admission)
Klokkespilskoncert.,"Vor Frelsers Kirke, Sankt Annæ Gade 29, Copenhagen K","Fri 24 November 2017, 3",(Free admission)
Nytårsgalla.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 31 December 2017, 1 pm  & 5",(Entrance fee: 248 - 992 DKK)
"""Tranquebar"".","Jazzcup, Gothersgade 107, Copenhagen K","Sat 6 January 2018, 2.30","(Entrance fee: 90,-(70,-))"
Nytårskoncert Prinsens Musikkorps.,"Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup","Thur 11 January 2018, 7.30",(Entrance fee: 195-230 DKK + evt. gebyr)
Repeatles.,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Sat 13 January 2018, 8","(Entrance fee: 200,00 DKK)"
Nytårskoncert med Københavns Kantatekor og -orkester.,"Stengård Kirke, Triumfvej 2, Kongens Lyngby","Thur 18 January 2018, 7.30 pm  - 11",Ukendt
Nytårskoncert.,"Virum Kirke, Kirkebakken 10, Virum","Sat 20 January 2018, 4 pm  - 6",Ukendt
The Lone Bellow.,"VEGA, Enghavevej 40, Copenhagen V","Wed 24 January 2018, 8","(Entrance fee: 220,00 DKK)"
Lis Sørensen.,"Skovshoved Hotel, Strandvejen 267, Charlottenlund","Sat 27 January 2018, 6.30","(Entrance fee: 1220,00 DKK)"
Orgelkoncert.,"Garnisonskirken, Sankt Annæ Plads 4, Copenhagen K","Wed 31 January 2018, 7.30",(Free admission)
